DATE,INDEX,Turnover
30/07/2023,1868.56,621738.66
26/07/2023,1854.72,2640309.83
25/07/2023,1804.58,1861910.75
24/07/2023,1860.85,1315104.32
23/07/2023,1902.91,771620.8
20/07/2023,1884.31,1250576.97
19/07/2023,1901.29,1587186.81
18/07/2023,1845.84,796280.22
17/07/2023,1805.12,721729.79
16/07/2023,1798.41,236895.83
13/07/2023,1811.77,1051274.69
12/07/2023,1805.05,863265.46
11/07/2023,1770.2,910707.5
10/07/2023,1752.71,607857.03
09/07/2023,1740.96,353675.26
06/07/2023,1762.59,1756612.8
05/07/2023,1779.07,661914.08
04/07/2023,1767.17,350474.96
03/07/2023,1758.43,783651.95
02/07/2023,1763.36,375400.67
29/06/2023,1749.22,1999009.32
28/06/2023,1750.6,777929.25
27/06/2023,1748.15,780826.68
26/06/2023,1767.88,773136.36
25/06/2023,1758.86,406038.44
22/06/2023,1787.57,868422.66
21/06/2023,1790.24,769797.76
20/06/2023,1811.62,768418.46
19/06/2023,1810,736214.87
18/06/2023,1801.02,419779.17
15/06/2023,1820.1,1807426.18
14/06/2023,1805.98,1117130.77
13/06/2023,1816.25,1140112.86
12/06/2023,1805.29,1079473.18
11/06/2023,1792.71,377147.71
08/06/2023,1794.25,1129655.13
07/06/2023,1780.77,1301166.31
06/06/2023,1749.9,1145874.89
05/06/2023,1758.13,941548.49
04/06/2023,1757.7,479959.56
01/06/2023,1729.35,2971184.62
31/05/2023,1744.92,3967017.79
30/05/2023,1758.48,1449261.41
29/05/2023,1776.45,906166.26
28/05/2023,1781.26,468265.46
24/05/2023,1768.31,1904044.39
23/05/2023,1783.5,1165409.27
22/05/2023,1804.27,1354947.64
21/05/2023,1814.56,347970.42
18/05/2023,1825.5,1444667.99
17/05/2023,1825.84,1208926.44
16/05/2023,1795.74,902082.46
15/05/2023,1800.64,948209.91
14/05/2023,1795.44,490401.91
11/05/2023,1802.68,1405796.01
10/05/2023,1789.77,1034315.29
09/05/2023,1770.73,700323.97
08/05/2023,1786.81,785592.58
07/05/2023,1796.98,343156.69
04/05/2023,1784.38,2458736.02
03/05/2023,1793.87,891294.8
02/05/2023,1776.58,1154461.66
01/05/2023,1768.72,708330.52
30/04/2023,1766.95,479114.1
27/04/2023,1751.19,1964831.82
24/04/2023,1742.65,958179.87
23/04/2023,1723.34,301351.71
20/04/2023,1712.47,861816.6
19/04/2023,1726.83,845723.06
18/04/2023,1738.62,905869.72
17/04/2023,1731.42,958499.88
16/04/2023,1737.3,367691.2
13/04/2023,1740.01,1928751.81
10/04/2023,1740.41,343390.01
09/04/2023,1739.65,239871.71
04/04/2023,1741.91,1119252.04
03/04/2023,1741.11,865294.86
02/04/2023,1760.36,412999.34
30/03/2023,1739.11,1871672.45
29/03/2023,1732.21,924371.87
28/03/2023,1760.86,1043188.11
27/03/2023,1775.46,1404755.84
26/03/2023,1740.87,466734.45
23/03/2023,1779.43,1420302.47
22/03/2023,1748.55,1047815.29
21/03/2023,1744.67,984293.8
20/03/2023,1731.03,1206321.93
19/03/2023,1709.62,465736.5
16/03/2023,1725.5,2034290.74
15/03/2023,1723.94,1364804.9
14/03/2023,1756.26,1126677.79
13/03/2023,1737.14,1462702.54
12/03/2023,1743.49,587447.28
09/03/2023,1799.32,1069365.32
08/03/2023,1788.16,1061513.55
06/03/2023,1783.55,1297994.09
05/03/2023,1757.46,344106.75
02/03/2023,1742.62,1907961.82
01/03/2023,1737.39,1158470.68
28/02/2023,1734.34,1741028.13
27/02/2023,1722.54,1421203.54
26/02/2023,1707.57,503402.5
23/02/2023,1747.43,2000479
22/02/2023,1760.01,1312302.9
21/02/2023,1763.37,1191548.75
20/02/2023,1792.97,663922.18
19/02/2023,1793.07,338885.99
16/02/2023,1802.4,1215330.93
15/02/2023,1812.78,1157284.14
14/02/2023,1796.08,1067576.98
13/02/2023,1802.46,1118145.63
12/02/2023,1776.53,822942.4
09/02/2023,1781.4,1136602.9
08/02/2023,1797.38,870325.3
07/02/2023,1806.28,887914.58
06/02/2023,1807.52,944851.3
05/02/2023,1817.74,410156.29
02/02/2023,1833.96,2856842.56
01/02/2023,1801.91,1011152.32
31/01/2023,1797.14,1064731.89
30/01/2023,1777.86,1224021.54
29/01/2023,1746.82,703549.22
26/01/2023,1782.24,1775359.87
25/01/2023,1798.95,705263.59
24/01/2023,1828.97,723028.89
